row_index,Name,Cluster
386,Pooja Bhat,2
387,Priya Pillai,1
388,Vihaan Joshi,5
389,Kavya Das,1
390,Aarav Iyer,2
391,Arjun Bhat,2
392,Riya Rao,3
393,Isha Patel,4
394,Karan Verma,4
395,Aarav Das,1
396,Kavya Reddy,2
397,Varun Iyer,5
398,Priya Gupta,5
399,Riya Reddy,6
400,Sahil Menon,0
401,Diya Menon,2
402,Arjun Bose,2
403,Diya Deshmukh,6
404,Raj Patel,4
405,Kavya Iyer,3
406,Rohan Reddy,2
407,Ananya Patel,0
408,Kavya Nair,4
409,Raj Singh,4
410,Aditi Mehta,0
411,Pooja Reddy,6
412,Aarav Kapoor,3
413,Ananya Agarwal,1
414,Riya Nair,6
415,Aarav Das,6
416,Riya Mehta,6
417,Isha Rao,3
418,Vihaan Patel,4
419,Riya Chopra,0
420,Riya Iyer,4
421,Meera Mehta,2
422,Isha Menon,2
423,Aditya Rao,5
424,Riya Rao,2
425,Vihaan Kapoor,0
426,Sneha Gupta,6
427,Aditi Deshmukh,2
428,Rohan Reddy,5
429,Nikhil Pillai,0
430,Arjun Reddy,1
431,Aditya Bhat,6
432,Varun Rao,5
433,Isha Iyer,5
434,Sneha Verma,1
435,Arjun Reddy,4
436,Arjun Reddy,0
437,Riya Bose,0
438,Karan Sharma,1
439,Riya Gupta,2
440,Arjun Chopra,6
441,Aditi Iyer,5
442,Karan Mehta,2
443,Pooja Reddy,1
444,Priya Bhat,5
445,Isha Agarwal,1
446,Vihaan Reddy,6
447,Sahil Joshi,3
448,Vihaan Kapoor,0
449,Diya Nair,3
450,Sneha Verma,6
451,Nikhil Kapoor,1
452,Aarav Iyer,0
453,Ananya Singh,4
454,Meera Nair,0
455,Aditya Patel,1
456,Riya Rao,4
457,Aditi Kapoor,1
458,Aditi Reddy,6
459,Meera Menon,2
460,Isha Bhat,0
461,Aditi Singh,0
462,Kavya Sharma,0
463,Ananya Bhat,3
464,Meera Agarwal,2
465,Sneha Menon,2
466,Kavya Verma,0
467,Isha Bhat,3
468,Diya Deshmukh,0
469,Rohan Gupta,3
470,Rohan Bose,4
471,Priya Das,0
472,Raj Patel,0
473,Meera Deshmukh,1
474,Ananya Nair,2
475,Kavya Kapoor,2
476,Karan Mehta,2
477,Meera Reddy,5
478,Aditya Gupta,4
479,Sahil Joshi,0
480,Priya Das,3
481,Meera Reddy,2
482,Varun Bose,2
483,Aarav Iyer,4
484,Varun Das,6
485,Ananya Rao,5
486,Aarav Rao,2
487,Nikhil Menon,6
488,Ananya Rao,1
489,Isha Gupta,6
490,Priya Patel,0
491,Pooja Joshi,4
492,Aditi Bhat,0
493,Arjun Agarwal,2
494,Aditya Menon,1
495,Isha Joshi,2
496,Priya Rao,3
497,Raj Menon,1
498,Arjun Patel,0
499,Pooja Mehta,4
500,Meera Chopra,6
501,Isha Deshmukh,2
502,Nikhil Singh,3
503,Aarav Pillai,3
504,Raj Gupta,2
505,Karan Kapoor,4
506,Meera Sharma,0
507,Priya Nair,2
508,Raj Reddy,3
509,Aditya Deshmukh,2
510,Isha Das,6
511,Ananya Kapoor,0
512,Sneha Patel,4
513,Pooja Pillai,2
514,Arjun Mehta,2
515,Diya Nair,2
516,Isha Menon,4
517,Aditi Singh,2
518,Ananya Singh,0
519,Rohan Verma,6
520,Ananya Kapoor,2
521,Vihaan Iyer,2
522,Aditi Reddy,2
523,Raj Nair,5
524,Diya Das,4
525,Aditi Iyer,3
526,Diya Bose,5
527,Aarav Agarwal,2
528,Aditi Bhat,2
529,Vihaan Sharma,4
530,Nikhil Patel,6
531,Priya Menon,3
532,Priya Rao,5
533,Varun Patel,2
534,Meera Verma,2
535,Sneha Sharma,6
536,Aditi Bose,5
537,Arjun Rao,3
538,Aarav Iyer,5
539,Varun Bose,6
540,Aditi Bhat,2
541,Sahil Das,0
542,Raj Gupta,4
543,Arjun Das,6
544,Varun Kapoor,1
545,Pooja Menon,0
546,Diya Patel,2
547,Meera Mehta,5
548,Nikhil Singh,6
549,Sahil Verma,1
550,Vihaan Patel,2
551,Sahil Bose,2
552,Sahil Pillai,1
553,Aarav Nair,5
554,Diya Reddy,4
555,Raj Sharma,5
556,Kavya Rao,1
557,Priya Menon,5
558,Riya Gupta,4
559,Nikhil Nair,6
560,Sahil Patel,3
561,Vihaan Singh,2
562,Varun Das,5
563,Nikhil Patel,2
564,Arjun Chopra,0
565,Meera Bhat,4
566,Aditi Iyer,4
567,Rohan Bose,1
568,Sahil Kapoor,4
569,Rohan Agarwal,5
570,Diya Nair,4
571,Rohan Singh,2
572,Vihaan Verma,2
573,Diya Reddy,1
574,Isha Joshi,3
575,Karan Sharma,2
576,Pooja Pillai,1
577,Aarav Menon,3
578,Karan Verma,3
579,Karan Bhat,0
580,Isha Singh,2
581,Diya Mehta,1
582,Riya Chopra,5
583,Pooja Chopra,0
584,Aarav Sharma,3
585,Isha Nair,2
586,Sahil Nair,2
587,Sahil Sharma,3
588,Arjun Agarwal,4
589,Karan Mehta,1
590,Kavya Chopra,0
591,Aarav Menon,2
592,Ananya Pillai,1
593,Kavya Sharma,1
594,Priya Reddy,0
595,Vihaan Iyer,6
596,Ananya Mehta,5
597,Sneha Agarwal,6
598,Pooja Rao,0
599,Raj Nair,6
600,Varun Joshi,5
601,Karan Nair,4
602,Varun Bhat,5
603,Sahil Singh,1
604,Aditi Bose,1
605,Varun Kapoor,0
606,Sneha Pillai,4
607,Aarav Bhat,4
608,Aarav Patel,1
609,Vihaan Bose,2
610,Priya Reddy,5
611,Priya Mehta,2
612,Isha Gupta,5
613,Meera Bose,4
614,Aditya Reddy,6
615,Karan Reddy,1
616,Kavya Das,1
617,Pooja Nair,0
618,Raj Bose,4
619,Arjun Joshi,5
620,Karan Das,5
621,Riya Singh,4
622,Pooja Bose,6
623,Aarav Nair,0
624,Arjun Verma,4
625,Isha Bhat,2
626,Meera Joshi,1
627,Nikhil Nair,5
628,Priya Sharma,5
629,Varun Verma,2
630,Raj Singh,1
631,Aditi Patel,3
632,Meera Reddy,3
633,Aditi Nair,6
634,Raj Iyer,0
635,Karan Menon,2
636,Isha Singh,0
637,Nikhil Singh,5
638,Kavya Joshi,5
639,Isha Das,2
640,Riya Pillai,0
641,Karan Bose,6
642,Arjun Menon,1
643,Varun Singh,2
644,Varun Gupta,6
645,Vihaan Patel,1
646,Vihaan Verma,5
647,Vihaan Rao,2
648,Vihaan Chopra,1
649,Nikhil Patel,0
650,Vihaan Das,1
651,Sneha Joshi,2
652,Aditya Mehta,4
653,Karan Das,0
654,Rohan Kapoor,4
655,Priya Verma,5
656,Aarav Menon,0
657,Raj Kapoor,5
658,Meera Bhat,2
659,Sahil Mehta,4
660,Arjun Iyer,2
661,Vihaan Agarwal,5
662,Vihaan Kapoor,1
663,Sneha Kapoor,4
664,Aditi Gupta,2
665,Vihaan Mehta,3
666,Isha Sharma,4
667,Karan Chopra,4
668,Priya Patel,2
669,Varun Pillai,4
670,Aarav Iyer,5
671,Sneha Reddy,2
672,Nikhil Gupta,2
673,Aarav Patel,1
674,Karan Mehta,0
675,Aarav Kapoor,5
676,Meera Nair,5
677,Isha Reddy,3
678,Sahil Sharma,6
679,Aditi Patel,0
680,Diya Reddy,1
681,Priya Gupta,6
682,Vihaan Bose,6
683,Sahil Rao,2
684,Arjun Iyer,0
685,Riya Chopra,2
686,Sneha Agarwal,2
687,Riya Rao,2
688,Kavya Nair,6
689,Kavya Gupta,2
690,Pooja Kapoor,0
691,Sahil Verma,2
692,Rohan Nair,2
693,Aditi Joshi,0
694,Sneha Nair,1
695,Aditi Deshmukh,5
696,Aarav Rao,3
697,Rohan Singh,2
698,Pooja Sharma,1
699,Sneha Kapoor,1
700,Varun Kapoor,6
701,Meera Menon,2
702,Kavya Nair,3
703,Vihaan Das,4
704,Rohan Deshmukh,2
705,Karan Gupta,3
706,Vihaan Deshmukh,6
707,Arjun Das,2
708,Meera Patel,2
709,Varun Singh,2
710,Vihaan Menon,0
711,Pooja Singh,2
712,Pooja Mehta,0
713,Vihaan Gupta,2
714,Kavya Deshmukh,5
715,Priya Reddy,5
716,Kavya Sharma,1
717,Kavya Reddy,6
718,Isha Deshmukh,2
719,Vihaan Gupta,3
720,Aditi Pillai,3
721,Nikhil Rao,3
722,Ananya Agarwal,3
723,Rohan Mehta,5
724,Ananya Bose,2
725,Diya Sharma,6
726,Ananya Bhat,2
727,Varun Patel,0
728,Varun Chopra,0
729,Pooja Patel,4
730,Sahil Reddy,3
731,Priya Menon,5
732,Sneha Deshmukh,4
733,Karan Pillai,2
734,Aarav Patel,6
735,Diya Agarwal,2
736,Raj Das,1
737,Rohan Pillai,4
738,Aditya Das,3
739,Arjun Rao,2
740,Sahil Das,1
741,Kavya Bose,4
742,Karan Sharma,6
743,Sneha Mehta,0
744,Rohan Bhat,2
745,Ananya Kapoor,3
746,Varun Rao,4
747,Meera Reddy,3
748,Isha Deshmukh,1
749,Nikhil Reddy,0
750,Rohan Iyer,3
751,Aarav Gupta,0
752,Aditya Patel,0
753,Diya Kapoor,2
754,Nikhil Bhat,2
755,Varun Bose,1
756,Aarav Gupta,2
757,Kavya Pillai,6
758,Priya Rao,0
759,Ananya Kapoor,0
760,Karan Bose,6
761,Riya Sharma,6
762,Raj Patel,6
763,Isha Das,0
764,Pooja Kapoor,3
765,Arjun Singh,3
766,Aditi Rao,2
767,Karan Reddy,6
768,Sneha Deshmukh,3
769,Nikhil Chopra,0
770,Ananya Reddy,4
771,Ananya Agarwal,0
772,Priya Sharma,4
773,Kavya Bhat,2
774,Ananya Pillai,2
775,Riya Chopra,0
776,Aditi Gupta,2
777,Riya Gupta,5
778,Diya Joshi,0
779,Arjun Agarwal,3
780,Vihaan Iyer,4
781,Raj Das,6
782,Varun Mehta,6
783,Aditi Mehta,5
784,Aditi Rao,3
785,Arjun Menon,0
786,Meera Das,6
787,Nikhil Patel,0
788,Vihaan Pillai,0
789,Aarav Chopra,0
790,Vihaan Iyer,5
791,Sahil Gupta,3
792,Aarav Verma,3
793,Sneha Verma,0
794,Raj Joshi,5
795,Raj Kapoor,5
796,Sahil Verma,2
797,Isha Patel,3
798,Karan Nair,6
799,Kavya Bose,6
800,Vihaan Pillai,1
801,Kavya Chopra,5
802,Rohan Nair,2
803,Karan Menon,6
804,Arjun Singh,0
805,Aditi Agarwal,2
806,Rohan Nair,6
807,Kavya Bhat,4
808,Pooja Bose,3
809,Riya Nair,1
810,Meera Sharma,4
811,Priya Menon,4
812,Karan Bhat,3
813,Sneha Agarwal,1
814,Aditya Mehta,3
815,Priya Verma,5
816,Pooja Kapoor,0
817,Isha Kapoor,6
818,Aditi Iyer,0
819,Aarav Chopra,2
820,Varun Singh,6
821,Diya Iyer,2
822,Aarav Bhat,0
823,Varun Sharma,5
824,Sneha Kapoor,5
825,Vihaan Sharma,2
826,Sahil Singh,4
827,Diya Iyer,2
828,Aditya Deshmukh,5
829,Ananya Singh,0
830,Rohan Kapoor,5
831,Riya Menon,5
832,Varun Iyer,2
833,Ananya Patel,0
834,Karan Rao,6
835,Riya Nair,3
836,Varun Chopra,5
837,Raj Gupta,4
838,Ananya Sharma,0
839,Aditi Mehta,4
840,Vihaan Deshmukh,0
841,Rohan Bhat,0
842,Karan Deshmukh,4
843,Pooja Chopra,1
844,Sahil Bhat,2
845,Aditi Chopra,5
846,Vihaan Verma,6
847,Diya Kapoor,6
848,Sahil Nair,3
849,Karan Reddy,2
850,Rohan Deshmukh,3
851,Meera Chopra,0
852,Sneha Das,4
853,Varun Patel,6
854,Diya Mehta,4
855,Arjun Kapoor,2
856,Isha Reddy,6
857,Nikhil Singh,0
858,Arjun Menon,1
859,Aditya Chopra,4
860,Kavya Rao,5
861,Rohan Rao,6
862,Varun Sharma,0
863,Sahil Iyer,0
864,Meera Das,4
865,Arjun Chopra,6
866,Varun Bose,3
867,Arjun Chopra,1
868,Priya Iyer,2
869,Riya Verma,3
870,Sahil Chopra,2
871,Ananya Reddy,0
872,Sahil Das,2
873,Arjun Mehta,2
874,Pooja Agarwal,5
875,Varun Gupta,2
876,Varun Bhat,4
877,Aarav Reddy,4
878,Priya Bose,5
879,Sneha Patel,6
880,Diya Gupta,1
881,Raj Joshi,4
882,Isha Chopra,2
883,Aarav Joshi,4
884,Arjun Verma,3
885,Kavya Joshi,0
886,Sahil Sharma,0
887,Sahil Menon,2
888,Vihaan Bose,2
889,Karan Nair,2
890,Vihaan Singh,0
891,Aditya Nair,6
892,Vihaan Reddy,3
893,Varun Chopra,3
894,Rohan Iyer,4
895,Meera Sharma,1
896,Aarav Gupta,2
897,Diya Deshmukh,1
898,Isha Agarwal,5
899,Varun Iyer,3
900,Karan Singh,0
901,Kavya Nair,1
902,Sahil Joshi,4
903,Aarav Joshi,2
904,Vihaan Verma,2
905,Arjun Singh,4
906,Riya Sharma,0
907,Karan Kapoor,2
908,Varun Bose,0
909,Priya Verma,2
910,Varun Iyer,3
911,Karan Iyer,2
912,Raj Bose,5
913,Priya Deshmukh,5
914,Riya Sharma,5
915,Aditi Agarwal,6
916,Vihaan Mehta,0
917,Vihaan Patel,2
918,Kavya Gupta,2
919,Kavya Singh,6
920,Sahil Bhat,3
921,Isha Nair,1
922,Isha Menon,4
923,Rohan Deshmukh,5
924,Rohan Bhat,3
925,Ananya Chopra,1
926,Isha Pillai,6
927,Aditya Nair,3
928,Meera Patel,3
929,Nikhil Verma,2
930,Diya Nair,6
931,Priya Sharma,2
932,Diya Menon,1
933,Riya Joshi,1
934,Karan Singh,6
935,Rohan Kapoor,0
936,Varun Verma,1
937,Priya Sharma,5
938,Aditi Das,0
939,Priya Mehta,2
940,Diya Patel,4
941,Diya Joshi,3
942,Sahil Singh,0
943,Kavya Singh,1
944,Karan Patel,6
945,Sneha Das,5
946,Rohan Iyer,2
947,Nikhil Mehta,6
948,Meera Bhat,1
949,Sahil Deshmukh,4
950,Pooja Sharma,2
951,Arjun Sharma,4
952,Diya Sharma,4
953,Sahil Chopra,6
954,Karan Deshmukh,0
955,Ananya Sharma,4
956,Karan Gupta,1
957,Aarav Patel,3
958,Kavya Patel,6
959,Sahil Mehta,4
960,Priya Pillai,2
961,Sahil Mehta,3
962,Arjun Pillai,1
963,Arjun Nair,3
964,Priya Verma,3
965,Varun Agarwal,4
966,Rohan Menon,2
967,Riya Menon,0
968,Arjun Deshmukh,3
969,Priya Sharma,0
970,Aditya Pillai,2
971,Riya Gupta,3
972,Vihaan Chopra,5
973,Aditya Bhat,6
974,Aditya Joshi,1
975,Aditya Agarwal,1
976,Nikhil Deshmukh,4
977,Nikhil Joshi,1
978,Kavya Das,6
979,Riya Nair,4
980,Riya Kapoor,2
981,Pooja Das,3
982,Aarav Bhat,5
983,Isha Deshmukh,4
984,Vihaan Deshmukh,1
985,Ananya Mehta,4
986,Priya Verma,1
987,Vihaan Verma,6
988,Sahil Deshmukh,5
989,Sneha Sharma,5
990,Aditi Das,0
991,Isha Verma,4
992,Aditya Gupta,0
993,Rohan Menon,1
994,Meera Mehta,0
995,Priya Gupta,6
996,Karan Menon,6
997,Isha Nair,6
998,Rohan Mehta,4
999,Sahil Deshmukh,2
1000,Sneha Nair,1
1001,Vihaan Gupta,5
1002,Vihaan Agarwal,5
1003,Arjun Gupta,1
1004,Nikhil Pillai,1
1005,Ananya Chopra,0
1006,Sahil Iyer,4
1007,Diya Verma,5
1008,Diya Patel,0
1009,Rohan Verma,4
1010,Varun Mehta,2
1011,Pooja Chopra,6
1012,Riya Kapoor,3
1013,Arjun Das,3
1014,Diya Menon,0
1015,Aditya Patel,2
1016,Meera Singh,4
1017,Diya Sharma,6
1018,Vihaan Joshi,6
1019,Vihaan Verma,6
1020,Aarav Menon,2
1021,Sahil Das,1
1022,Sahil Agarwal,2
1023,Riya Deshmukh,4
1024,Sahil Verma,6
1025,Aditi Sharma,3
1026,Sahil Kapoor,4
1027,Pooja Sharma,0
1028,Vihaan Pillai,4
1029,Varun Verma,2
1030,Karan Verma,6
1031,Arjun Joshi,6
1032,Arjun Singh,4
1033,Isha Gupta,6
1034,Meera Pillai,5
1035,Nikhil Reddy,3
1036,Isha Pillai,4
1037,Kavya Sharma,4
1038,Kavya Bose,0
1039,Rohan Pillai,6
1040,Aarav Nair,1
1041,Sahil Deshmukh,3
1042,Varun Iyer,4
1043,Karan Bhat,2
1044,Aditya Iyer,5
1045,Sahil Bose,0
1046,Aarav Joshi,4
1047,Ananya Singh,4
1048,Meera Nair,5
1049,Aditi Patel,4
1050,Aarav Chopra,1
1051,Isha Iyer,0
1052,Aditi Joshi,1
1053,Varun Chopra,2
1054,Sneha Pillai,0
1055,Sneha Deshmukh,5
1056,Diya Joshi,4
1057,Varun Mehta,2
1058,Pooja Das,2
1059,Meera Verma,2
1060,Diya Joshi,2
1061,Arjun Nair,2
1062,Vihaan Bhat,4
1063,Sahil Sharma,2
1064,Vihaan Deshmukh,4
1065,Kavya Menon,0
1066,Raj Menon,2
1067,Aarav Verma,5
1068,Arjun Sharma,3
1069,Vihaan Rao,1
1070,Sahil Mehta,2
1071,Vihaan Agarwal,2
1072,Sneha Kapoor,5
1073,Diya Rao,4
1074,Priya Bose,4
1075,Raj Das,1
1076,Riya Pillai,3
1077,Rohan Deshmukh,6
1078,Raj Das,2
1079,Sneha Das,2
1080,Arjun Menon,1
1081,Aditi Patel,2
1082,Kavya Bose,6
1083,Riya Agarwal,2
1084,Varun Agarwal,5
1085,Isha Menon,1
1086,Aditi Bose,0
1087,Aditi Iyer,1
1088,Rohan Mehta,2
1089,Vihaan Gupta,1
1090,Isha Verma,6
1091,Vihaan Chopra,4
1092,Karan Singh,5
1093,Meera Deshmukh,6
1094,Pooja Kapoor,5
1095,Kavya Pillai,5
1096,Varun Agarwal,2
1097,Sneha Patel,3
1098,Riya Deshmukh,4
1099,Aarav Reddy,2
1100,Kavya Gupta,5
1101,Karan Gupta,2
1102,Riya Das,2
1103,Diya Sharma,2
1104,Aarav Deshmukh,2
1105,Vihaan Chopra,2
1106,Karan Gupta,0
1107,Rohan Das,2
1108,Meera Reddy,2
1109,Varun Sharma,5
1110,Nikhil Verma,6
1111,Sahil Reddy,2
1112,Diya Mehta,3
1113,Meera Patel,6
